tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***39755,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,0,NR,45 LEWIS ST,,,ON
***10593,20170101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1,OPP,5 MERCER ST,,,ON
***39756,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,1,NR,55 LEWIS ST,,,ON
***92318,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1,N/S,MAPLEWOOD AVE,W/O,VAUGHAN RD,ON
***39757,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,2,NR,61 LEWIS ST,,,ON
***48911,20170101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,2,NR,40 ORCHARD VIEW BLVD,,,ON
***70169,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,2,NR,693 RHODES AVE,,,ON
***40669,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,3,OPP,80 MILL ST,,,ON
***40670,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,3,OPP,80 MILL ST,,,ON
***70170,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,3,NR,673 RHODES AVE,,,ON
***54026,20170101,8,STAND VEH.-PROHIBIT TIME/DAY,60,4,E/S,UNIVERSITY AVE,N/O,QUEEN ST W,ON
***40671,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,4,OPP,80 MILL ST,,,ON
***48912,20170101,369,STND ONSTRT ACCESSIBLE NOT D/O,450,4,NR,40 ORCHARD VIEW BLVD,,,ON
***70171,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,4,NR,663 RHODES AVE,,,ON
***10594,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,190 JOHN ST,,,ON
***54027,20170101,406,PARK-VEH. W/O VALID ONT PLATE,40,5,E/S,UNIVERSITY AVE,N/O,QUEEN ST W,ON
***40672,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,5,OPP,80 MILL ST,,,ON
***48913,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,5,NR,40 ORCHARD VIEW BLVD,,,ON
***70172,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,653 RHODES AVE,,,ON
***74662,20170101,16,PARK-WITHIN 9M INTERSECT ROAD,50,5,NR,175 ELIZABETH ST,,,ON
***10595,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,190 JOHN ST,,,ON
***19664,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,172 JOHN ST,,,QC
***39758,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,88 COLGATE AVE,,,ON
***40673,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,6,OPP,70 MILL ST,,,ON
